movie_title,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Cheaper by the Dozen 2,PG,"Comedy, Kids & Family",Adam Shankman,Sam Harper,"Steve Martin, Bonnie Hunt, Eugene Levy, Tom Welling, Hilary Duff, Kevin G. Schmidt, Alyson Stoner, Jacob Smith, Liliana Mumy, Forrest Landis, Blake Woodruff, Brent Kinsman, Shane Kinsman, Morgan York, Jonathan Bennett, Piper Perabo, Carmen Electra, Jaime King, Alexander Conti, Taylor Lautner, Melanie Tonello, Robbie Amell, Courtney Fitzpatrick, Madison Fitzpatrick, Shawn Roberts, William Copeland, Peter Keleghan, Sam Kalilieh, Damon Runyan, Graham Losee, Seth Howard, Matthew Knight, Lee Macdougall, Jennifer Parsons, Jenny Parsons, Dylan Rosenthal, Haylee Wanstall, Ely Henry, Trevor Smith, Tre Smith, Adam Shankman, Shawn Levy, Enid Rose, Kristen Dulmage",2005-12-21,2006-05-23,93,20th Century Fox,Rotten,6,94,57,568248
Hairspray,PG,"Comedy, Musical & Performing Arts",Adam Shankman,"Thomas Meehan, Mark O'Donnell, Leslie Dixon","John Travolta, Michelle Pfeiffer, Queen Latifah, Christopher Walken, James Marsden, Amanda Bynes, Elijah Kelley, Zac Efron, Brittany Snow, Nikki Blonsky, Taylor Parks, Jesse Weafer, Jerry Stiller, Brooke Engen, Tiffany Engen, Allison Janney, Becca Sweitzer, Kelly Fletcher, J.P. Ferreri, Sarah Francis, Tabitha Lupien, Hayley Podschun, Cassie Silva, Shane Simpson, Darren Frost, Ricki Lake, Joe Parro, Nick Loren, Sheldon Smith, Bruce McFee, Christian Hagen, John Andersen, George King, James Kirchner, Brandan Wall, Tanee McCall, John Waters, Paul Dooley, Nadine Ellis",2007-07-20,2007-11-20,117,New Line Cinema,Certified Fresh,91,219,85,763432
The Pacifier,PG,"Action & Adventure, Comedy, Kids & Family",Adam Shankman,Robert Ben Garant,"Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow, Chris Potter, Carol Kane, Brad Garrett, Morgan York, Keegan Hoover, Logan Hoover, Bo Vink, Tsui Mung-Ling, Luke Vink, Scott Thompson, Denis Akiyama, Mung Ling Tsui, Anne Fletcher, Tate Donovan, Wendi Lynn Allison, Alison Lynn, Gabriel Antonacci, Mary Pitt, Dan Sutcliffe, Vanessa Cobham, Jordan Allison, Rachael Dolan, Charlotte Szivak, Toya Alexis, Valerie Boyle, Karla Jang, Silver Kim, Robert Yeretch, Scott Hurst, Christie Allaire, Stephanie Allaire, Amy Allicock, Helena Chow, Joella Crichton, Laura Jeanes, Rebecca Priestley, Taryn Ash, Catherine Burdon, Shane Cardwell, Tommy Chang, David Lipper, Tip Fong, Maria Georgas, Nikki Shah, Jordan Todosey, Emi Yaguchi-Chow, Demetrius Joyette, Christopher Lortie, Sotiri Georgas, Steven Georgas, Gannon Racki, Seth Howard, Marcus Hutchings, David Sparrow, Evelyn Kaye, Miriam Laurence, David Smukler, Christian Laurin, John MacDonald, Billy Oliver, Curtis Parker, Matt Purdy, Jean Pearson, Kyle Schmid, Cade Courtley, Michael Quintero, Cameron Hickox, Cassius Clay, Jeff Podgurski, F. Valentino Morales, Hank Amos, Charlie Haugk, Scott Reiff, Robert Bastens",2005-03-04,2005-06-28,95,Buena Vista,Rotten,20,129,59,388365
Rock of Ages,PG-13,"Drama, Musical & Performing Arts",Adam Shankman,"Chris D'Arienzo, Justin Theroux, Allan Loeb","Julianne Hough, Diego Boneta, Tom Cruise, Russell Brand, Paul Giamatti, Catherine Zeta-Jones, Malin Akerman, Mary J. Blige, Alec Baldwin, Bryan Cranston, Will Forte, Eli Roth, Dakota Sage Grant, Matt Sullivan, Erica Frene, Michael Olusczak, Anthony Bellissimo, Alan Shane Hartline, James Martin Kelly, Celina Beach, Angelo Donato Valderrama, Dan Finnerty, Kevin Nash, Jeff Chase, Chantel Gonsalves, Tyne Stecklein, Hanna-Lee Sakakibara, Jamie Goodwin, Anne Fletcher, Denise Faye, Mariann Nelson, Porcelain Black, C. J. Tywoniak, Maxwell F. Terlecki, Robert Reef, Marcus Johns, Vivi Pineda, Aniela McGuinness, Elvire Emanuelle, David Gene Gibbs, Brev Sullivan, Daniel Wills, Prince Shah, Benjamin Malone, Arielle Reitsma, Anya Garnis, Barry Habib, Constantine Maroulis, Heather Leigh Davis, Josh Randall, Jack Mountford, Elgin Kos Aponte, Veronica Berry, Karelix Alicea, T.J. Miller, Nuno Bettencourt, Joel Hoekstra, Deborah Gibson, Sebastian Bach, Kevin Cronin, Misterwill, Jack Desroches, Choice Gray, Sophie Cook",2012-06-15,2012-10-09,123,New Line Cinema,Rotten,42,227,55,209562
A Walk to Remember,PG,"Drama, Romance",Adam Shankman,Karen Janszen,"Shane West, Mandy Moore, Peter Coyote, Daryl Hannah, Al Thompson, Clayne Crawford, Lauren German, Paz de la Huerta, Jonathan Parks Jordan, Matt Lutz, David Andrews, Charles E. Bailey, Mervyn Warren, David Lee Smith, Marisa Miller, Dean Mumford, Gordon Groddy, Paula Jones, Anne Fletcher, Cassidy Ladden, Alan Butler, Janie Barnett, Elaine Caswell, Vivian Cherry, Robin Clark, Frances E. Davis, Diva Gray, Nikki Gregoroff, Xavier Hernandez, Seth Howard, Arlene Martell Martin, Dino Muccio, Kevin Osborne, Jason Paige, Willie Teacher, Julia Ann West, Eddie Zimmerhoff",2002-01-25,2002-07-09,100,Warner Bros. Pictures,Rotten,27,103,78,31402117
The Wedding Planner,PG-13,"Comedy, Romance",Adam Shankman,"Pamela Falk, Michael Ellis","Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers, Alex Rocco, Kevin Pollak, Kathy Najimy, Joanna Gleason, Charles Kimbrough, Judy Greer, Fred Willard, Lou Myers, Frances Bay, Cortney Shounia, Sally Insul, Philip Pavel, Natalie Jaroszyk, F. William Parker, Caisha Williams, Dan Finnerty, Fabiana Udenio, Bree Turner, Don West, Susan Mosher, Peter Brown, Adam Loeffler, Chelsea Hollingsworth, Bianca Brockl, Nikki Arlyn, Seth Howard, Greg Lauren, Magali Amadei, Phil Chong, Lydell M. Cheshier, Dee Dee Weathers, Harry Danner, Anthony Katala, Betsy Brockhurst, Huntley Ritter, Joan Del Mar, Raphaela Kleiman, Rocco Vienhage",2001-01-26,2001-07-03,104,Columbia Pictures,Rotten,16,104,59,483658
What Men Want,R,Comedy,Adam Shankman,"Tina Gordon Chism, Jas Waters","Taraji P. Henson, Aldis Hodge, Richard Roundtree, Wendi McLendon-Covey, Tracy Morgan, Josh Brener, Tamala Jones, Phoebe Robinson, Max Greenfield, Jason Jones, Brian Bosworth, Chris Witaske, Erykah Badu",2019-02-08,2019-05-07,117,Paramount Pictures,Rotten,44,134,33,1852
The King of Comedy,PG,"Comedy, Drama, Mystery & Suspense",Martin Scorsese,"Paul D. Zimmerman, Paul Zimmerman","Robert De Niro, Jerry Lewis, Sandra Bernhard, Ed Herlihy, Louis Polliman Brown, Whitey Ryan, Doc Lawless, Lou Brown, Marta Heflin, Katherine Wallach, Charlene Kaleina, Diahnne Abbott, Scotty Bloch, Richard Baratz, Catherine Scorsese, Cathy Scorsese, Charles Low, Liza Minnelli, Leslie Levinson, Margo Winkler, Sel Vitella, Tony Boschetti, Loretta Tupper, Shelley Hack, Matt Russo, Thelma Lee, Joe Strummer, Joyce Brothers, George Kapp, Victor Borge, Marvin Scott, Ralph Monaco, June Prud'Homme, Frederick De Cordova, Ellen Foley, Martin Scorsese, Tony Randall, Tony Devon, Edgar J. Scherick, Thomas M. Tolan, Peter Fain, Ray Dittrich, Richard Dioguardi, Jay Julien, Harry Ufland, Scotty Block, Jeff David, Bill Minkin, Mick Jones, Diane Rachell, Jimmy Raitt, Charles Scorsese, Kim Chan, Mardik Martin",1983-01-01,2002-12-17,109,Fox,Certified Fresh,88,58,90,26880
GoodFellas,R,Drama,Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Ray Liotta, Robert De Niro, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Charles Scorsese, Chuck Low, Frank DiLeo, Gina Mastrogiacomo, Debi Mazar, Margo Winkler, Welker White, Jerry Vale, Catherine Scorsese, Julie Garfield, Henny Youngman, Christopher Serrone, Suzanne Shepherd, Frank Di Leo, Spencer Bradley, Elaine Kagan, Sheila Howard, Beau Starr, Kevin Corrigan, Michael Imperioli, Robbie Vinton, Johnny Williams, Daniel P. Conte, Michael Citriniti, Tony Conforti, Frank Pellegrino, Victor Colicchio, Ronald Maccone, Tony Sirico, Joseph D'Onofrio, Frank Adonis, Joseph Bono, Katherine Wallach, Mark Evan Jacobs, John Manca, Angela Pietropinto, John Di Benedetto, Marianne Leone, Richard ""Bo"" Dietl, Marie Michaels, Richard Dioguardi, Lo Nardo, Lou Eppolito, Melissa Prophet, Illeana Douglas, Susan Varon, Paula Gallo, Vincent Gallo, Elizabeth Whitcraft, Clem Caserta, Samuel L. Jackson, Fran McGee, Paul Herman, Edward McDonald, Dallas Edward Hayes, Joel Calendrillo, Anthony E. Valentin, Peter Hock, Erasmus C. Alfano, Mark Jacobs, John DiBenedetto, Manny Alfaro, Thomas Lowry, Nadine Kay, Margaret Smith, Richard Mullally, Frank Albanese, Paul McIssac, Tony Lip, Bob Golub, Louis Eppolito, Gaetano LoGiudice, Mikey Black, Peter Cicale, Anthony Powers, Vincent Pastore, Paul Mougey, Gina Mattia, Norman Barbera, Anthony Polemeni, Irving Welzer, Jesse Kirtzman, Bob Altman, Joanna Bennett, Gayle Lewis, Gaetano Lisi, Luke Walter, Ed Deacy, Larry Silvestri, Johnny ""Cha-Cha"" Ciarcia, Vito Picone, Janis Corsair, Frank Aquilino, Lisa DaPolito, Michael Calandrino, Vito Antuofermo, Nicole Burdette, Stella Kietel, Dominque DeVito, Michaelangelo Graziano, Tony Ellis, Peter Onorati, Stella Keitel, Jamie DeRoy, Joel Blake, H. Clay Dear, Daniela Barbosa, Thomas Hewson, Gene Canfield, Margaux Guerard, Violet Gaynor, Tobin Bell, Berlinda Tolbert, Nancy Ellen Cassaro, Adam Wandt, Joseph P. Gioco, Isiah Whitlock Jr., Alyson Jones, Ruby Gaynor, Bo Dietl, Vito Balsamo, James Quattrochi, Peter Fain, Russell Halley, Anthony Alessandro, Thomas E. Camuti, Garry Blackwood, Philip Suriano, Andrew Scudiero, Steve Forleo, Mike Contessa",1990-09-19,1997-03-26,146,Warner Bros.,Certified Fresh,96,95,97,428871
After Hours,R,"Comedy, Mystery & Suspense",Martin Scorsese,Joseph Minion,"Griffin Dunne, Rosanna Arquette, Verna Bloom, Linda Fiorentino, Tommy Chong, Teri Garr, John Heard, Cheech Marin, Catherine O'Hara, Dick Miller, Will Patton, Robert Plunket, Bronson Pinchot, Rocco Sisto, Larry Block, Mary Colquhoun, Victor Argo, Murray Moston, John Codiglia, Clarence Felder, Henry Baker, Margo Winkler, Clarke Evans, Vic Magnotta, Victor Bumbalo, Robin Johnson, Stephen J. Lim, Bill Elverman, Frank Aquilino, Joel Jason, Rand Carr, Maree Catalano, Paula Raflo, Rockets Redglare, Martin Scorsese, Charles Scorsese",1985-09-13,2004-08-17,96,Warner Bros. Pictures,Certified Fresh,88,52,87,22076
Cape Fear,R,"Drama, Mystery & Suspense",Martin Scorsese,Wesley Strick,"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis, Joe Don Baker, Robert Mitchum, Gregory Peck, Martin Balsam, Illeana Douglas, Fred Dalton Thompson, Zully Montero, Craig Henne, Ellen Lewis, Forest Burton, Edgar Allan Poe IV, Rod Ball, W. Paul Bodie, Joel Kolker, Antoni Corone, Tamara Jones, Roger Pretto, Parris Buckner, Margot Moreland, Will Knickerbocker, Robert L. Gerlach, Bruce E. Holdstein, Richard Wasserman, Paul Nagle Jr., Paul Froehler, Mary Ellen O'Brien, Jody Wilson, Jodie Wilson, Kate Colburn, Domenica Cameron-Scorsese, Garr Stevens, Billy Lucas, Ken Collins, Linda Perri, Elizabeth Moyer, Catherine Scorsese, Charles Scorsese, Chad Dowdell, Jackie Davis",1991-11-13,2001-09-18,128,MCA/Universal Pictures,Certified Fresh,75,48,77,68628
Casino,R,Drama,Martin Scorsese,"Martin Scorsese, Nicholas Pileggi","Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King, Kevin Pollak, L.Q. Jones, Dick Smothers, Frank Vincent, John Bloom, Pasquale Cajano, Melissa Prophet, Bill Allison, Vinny Vella Sr., Oscar Goodman, Phillip Suriano, Erika Von Tagen, Frankie Avalon, Philip Suriano, Steve Allen, Jayne Meadows, Jerry Vale, Audrey Meadows, Joseph Rigano, Gene Ruffini, Dominick Grieco, Richard Amalfitano, Richard F. Strafella, Casper Molee, David Leavitt, Peter Conti, Steve Vignari, Rick Crachy, Larry E. Nadler, Paul Herman, Salvatore Petrillo, Joey de Pinto, Heidi Keller, Millicent Sheridan, Nobu Matsuhisa, Toru Nagai, Barbara Spanjers, Dom Angelo, Dean Casper, Joe Molinaro, Bret McCormick, Ali Pirouzkar, Frankie Jay Allison, Clem Caserta, Jed Mills, Jeff Scott Anderson, Cameron Milzer, Jennifer M. Abbott, Frank Washko Jr., Richard Riehle, Christian A. Azzinaro, Linda Perri, Eric Randall, Robert C. Tetzlaff, Anthony Russell, Brian Reddy, Roy Conrad, Carol Wilson, Andy Jarrell, Joe Lacoco, John Manca, Tyde Kierney, Ronald Maccone, Sasha Semenoff, Mitch Kolpan, Buck Stephens, Sly Smith, Joseph Reidy, Joe La Due, Richard Wagner, Carl Ciarfalio, Fred Smith, Jack Orend, Sonny D'Angelo, Greg Anderson, David Varriale, Stuart Nisbet, Tommy DeVito, Frank Adonis, Joseph Bono, Craig Vincent, Daniel P. Conte, Paul Dottore, Richard T. Smith, David Rose, Jonathan Kraft",1995-11-22,1998-02-24,182,Universal Pictures,Certified Fresh,80,64,93,284881
No Direction Home: Bob Dylan,NR,"Documentary, Musical & Performing Arts",Martin Scorsese,,"Bob Dylan, Paul Nelson",2005-07-21,2005-09-20,209,Paramount Pictures,Fresh,88,17,95,9581
Shutter Island,R,"Action & Adventure, Drama, Mystery & Suspense",Martin Scorsese,"Laeta Kalogridis, Dennis Lehane","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Max von Sydow, Patricia Clarkson, Emily Mortimer, Jackie Earle Haley, Ted Levine, John Carroll Lynch, Elias Koteas, Robin Bartlett",2010-02-19,2010-06-08,138,Paramount Studios,Fresh,68,253,76,2373625
The Age of Innocence,PG,"Drama, Romance",Martin Scorsese,"Martin Scorsese, Jay Cocks","Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Richard E. Grant, Alec McCowen, Geraldine Chaplin, Mary Beth Hurt, Stuart Wilson, Miriam Margolyes, Sian Phillips, Alexis Smith, Michael Gough, Jonathan Pryce, Robert Sean Leonard, Carolyn Farina, Tracey Ellis, Norman Lloyd, Domenica Cameron-Scorsese, Linda Faye Farkas, Michael Rees Davis, Terry L. Cook, Jon Garrison, Howard Erskine, John McLoughlin, Christopher Nilsson, Kevin Sanders, Zoé, W.B. Brydon, Cristina Pronzati, Clement Fowler, Cindy Katz, June Squibb, Mac Orange, Brian Davies, Claire Bloom, Thomas Gibson, Thomas Barbour, Henry Fehren, Patricia Dunnock, Martin Scorsese, Catherine Scorsese, Charles Scorsese, Joanne Woodward",1993-10-01,2001-11-06,138,Columbia Pictures,Certified Fresh,83,54,75,23859
Alice Doesn't Live Here Anymore,PG,"Classics, Drama",Martin Scorsese,Robert Getchell,"Ellen Burstyn, Alfred Lutter, Kris Kristofferson, Diane Ladd, Billy Green Bush, Harvey Keitel, Larry Cohen, Vic Tayback, Jodie Foster, Henry Max Kendrick, Mardik Martin, Valerie Curtin, Martin Scorsese, Lelia Goldoni, Lane Bradbury, Ola Moore, Martin Brinton, Murray Moston, Dean Casper, Harry Northrup, Mia Bendixsen, Laura Dern",,2004-08-17,113,Warner Home Video,Fresh,87,30,82,9807
The Aviator,PG-13,Drama,Martin Scorsese,John Logan,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly, Alec Baldwin, Ian Holm, Alan Alda, Danny Huston, Gwen Stefani, Jude Law, Adam Scott, Matt Ross, Kelli Garner, Frances Conroy, Brent Spiner, Stanley DeSantis, Edward Herrmann, Willem Dafoe, Amy Sloan, Kenneth Welsh, Nellie Sciutto, J.C. MacKenzie, Vincent Laresca, Justin Shilton, Chris Ufland, Josie Maran, Rufus Wainwright, Sam Hennings",2004-12-17,2005-05-24,170,Miramax,Certified Fresh,86,222,79,207396
Boxcar Bertha,R,"Action & Adventure, Classics, Drama, Mystery & Suspense",Martin Scorsese,"Joyce Corrington, John William Corrington, Joyce Hooper Corrington","Barbara Hershey, David Carradine, Barry Primus, Bernie Casey, John Carradine, Grahame Pratt, Harry Northrup, Ann Morell, Marianne Dole, Joe Reynolds, ""Chicken"" Holleman, David R. Osterhout, Victor Argo, Gayne Rescher, Martin Scorsese",1972-06-14,2002-03-19,88,MGM Home Entertainment,Rotten,50,22,33,5437
Bringing Out the Dead,R,"Drama, Mystery & Suspense",Martin Scorsese,Paul Schrader,"Nicolas Cage, Patricia Arquette, John Goodman, Ving Rhames, Marc Anthony, Tom Sizemore, Mary Beth Hurt, Cliff Curtis, Nestor Serrano, Aida Turturro, Sonja Sohn, Cynthia Roman, Afemo Omilami, Cullen Oliver Johnson, Cullen O. Johnson, Arthur J. Nascarella, Julyana Soelistyo, Graciela Lecube, Marylouise Burke, Phyllis Somerville, Mary Diveny, Martin Scorsese, Tom Riis Farrell, Larry Fessenden, John Hefferman, Harper James Simon, Charis Michelson, Joseph Monroe Webb, Lia Yang, Rosemary Gomez, Luis Rodríguez, Richard Spore, Aleks Shaklin, Leonid Citer, Jesus A. Del Rosario Jr., Bernie Friedman, Theo Kogan, Fuschia Walker, Matthew Maher, Bronson Dudley, Marilyn McDonald, Ed Jupp Jr., J. Stanford Hoffman, Rita Norona Schrager, Don Berry, Mtume Gant, Michael A. Noto, Omar Sharif Scroggins, Michael Kenneth Williams, Andrew Davoli, Charlene Hunter, Jesse Malin, Jon Abrahams, Antone Pagan, Melissa Marsala, Betty Miller, Sylva Kelegian, Frank Ciornei, Catrina Ganey, Jennifer Lane Newman, John Bal, Raymond Cassar, Tom Cappadona, Jack A. O'Connell, Randy Foster, James Hanlon, Chris Edwards, Mark Girodano, Michael Mulheren, David Zayas, Terry Serpico, Brian Smyj, Floyd Resnick, Megan Leigh, David Vasquez, Judy Reyes, Joseph Reidy, Queen Latifah",1999-10-22,2000-05-09,118,Paramount Pictures,Certified Fresh,72,106,70,38748
The Color of Money,R,"Drama, Sports & Fitness",Martin Scorsese,"Richard Price, Martin Scorsese","Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver, John Turturro, Bill Cobbs, Forest Whitaker, Robert Agins, Keith McCready, Carol Messing, Steve Mizerak, Bruce A. Young, Randall Arney, Lisa Dodson, Vito D'Ambrosio, Zoé, Ron Dean, Alvin Anastasia, Donald A. Feeney, Andy Nolfo, Elizabeth Bracco, Paul Geier, Carey Goldenberg, Lawrence Linn, Rick Mohr, Rodrick Selby, Joe Guastaferro, Paul Herman, Mark Jarvis, Jim Mataya, Grady Mathews, Lloyd Moss, Michael Nash, Jimmy Mataya, Mario Nieves, Miguel A. Nino, Juan Ramírez, Jerry Piller, Miguel Nino, Iggy Pop, Richard Price, Ernest Perry Jr., Charles Scorsese, Fred Squillo, Christina Sigel, Harold L. Simonsen, Peter Saxe, Brian Sunina, Jim Widlowski, Wandachristine",1986-10-08,2001-03-06,119,Touchstone Pictures,Certified Fresh,89,47,73,46023
The Departed,R,"Action & Adventure, Drama, Mystery & Suspense",Martin Scorsese,"William Monahan, Martin Scorsese","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Alec Baldwin, Anthony Anderson, Kevin Corrigan, James Badge Dale, David O'Hara, Mark Rolston, Gerard McSorley, Robert Wahlberg, Kristen Dalton, J.C. MacKenzie, Mary Klug, Saurman Holzemer Peg, Robert 'Toshi' Kar Yuen Chan, Gurdeep Singh, Armen Garo, John Cenatiempo, Joseph Riccobene, Billy Smith, Lyman Chen, Kevin P. McCarthy, Chris Fischer, Brian Smyj, William Severs, Larry Mitchell, Anthony Estrella, Andrew Breving, Tracey Paleo, Douglas Crosby, Conor Donovan, Amanda Lynch, Sallie Toussaint, Patrick Coppola, Mick O'Rourke, Deborah Carlson, Nellie Sciutto, Peter Welch II, Henry Yuk, Joseph Reidy, Tom Kemp, Zachary Pauliks, Paula Demers, Buddy Dolan, Thomas B. Duffy, Paris Karounos",2006-10-06,2007-02-13,152,Warner Bros. Pictures,Certified Fresh,91,277,94,737217
Gangs of New York,R,"Classics, Drama",Martin Scorsese,"Jay Cocks, Steven Zaillian, Kenneth Lonergan","Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent, Liam Neeson, John C. Reilly, Henry Thomas, Brendan Gleeson, Roger Ashton-Griffiths, Gary Lewis, Stephen Graham, Eddie Marsan, Alec McCowen, David Hemmings, Lawrence Gilliard Jr., Cara Seymour, Peter-Hugo Daly, Cian McCormack, Dominique Vandenberg, Salvatore Billa, Gerry Robert Byrne, Brennan Caitlin, Liam Carney, Lucy Davenport, Ilaria D'Elia, John A. Gallagher, Robert Goodman, Gary McCormack, Raffaella Ponzo, Donald Stewart, Dominique Vanderberg",2002-12-20,2003-07-01,166,Miramax Films,Certified Fresh,73,211,81,294037
George Harrison: Living In The Material World,NR,"Documentary, Musical & Performing Arts, Special Interest",Martin Scorsese,,"George Harrison, Paul McCartney, Ringo Starr, Eric Clapton, Terry Gilliam, Eric Idle, George Martin, The Beatles, Yoko Ono, Tom Petty, Phil Spector",,2012-05-01,94,HBO Documentary,Fresh,86,37,93,1706
Hugo,PG,"Kids & Family, Mystery & Suspense",Martin Scorsese,John Logan,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Jude Law, Frances de la Tour, Richard Griffiths, Kevin Eldon, Gulliver McGrath, Shaun Aylward, Emil Lager, Angus Barnett, Edmund Kingsley, Max Wrottesley, Marco Aponte, Ilona Cheshire, Catherine Balavage, Emily Surgent, Lily Carlson, Frederick Warder, Chrisos Lawson, Tomos James, Ed Sanders, Terence Frisch, Max Cane, Frank Bourke, Stephen Box, Ben Addis, Robert Gill",2011-11-23,2012-02-28,126,Paramount Studios,Certified Fresh,93,223,78,82683
The Last Temptation of Christ,R,Drama,Martin Scorsese,Paul Schrader,"Willem Dafoe, Barbara Hershey, Harvey Keitel, David Bowie, Harry Dean Stanton, Verna Bloom, Andre Gregory, Juliette Caton, Steve Shill, Roberts Blossom, Irvin Kershner, Gary Basaraba, Victor Argo, Michael Been, Paul Herman, John Lurie, Leo Burmester, Alan Rosenberg, Tomas Arana, Nehemiah Persoff, Barry Miller, Paul Greco, Mahamed Ait Fdil Ahmed, Steven Shill, Randy Danson, Robert Spafford, Doris Von Thury, Del Russell, Donald Hodson, Peter Berling, Donna Marie Dawson, Mary ""Bunny"" Sellers, Russell Case, Mary Seller, Mohamed Mabsout, Ahmed Nacir, Mokhtar Salouf, Peggy Gormley, Donna Magnani, Penny Brown, Gabi Ford, Dale Wyatt, Domenico Fiore, Ted Rusoff, Leo Damian, Robert Laconi, Jonathon Zhivago, Illeana Douglas, David B. Sharp",1988-08-12,2000-04-25,164,Universal Pictures,Certified Fresh,80,55,84,35845
Mean Streets,R,"Classics, Drama",Martin Scorsese,"Martin Scorsese, Mardik Martin","Jeanne Bell, Robert De Niro, Harvey Keitel, Amy Robinson, David Proval, Richard Romanus, Cesare Danova, George Memmoli, Julie Andelman, Lenny Scaletta, Jeannie Bell, Victor Argo, Murray Moston, David Carradine, Robert Carradine, Jeanie Bell, Lois Walden, Harry Northrup, Dino Seragusa, D'Mitch Davis, Peter Fain, Juli Andelman, Robert Wilder, Ken Sinclair, Catherine Scorsese, Martin Scorsese, Jaime Alba",1973-01-01,2004-08-17,112,Warner Bros.,Certified Fresh,97,60,84,54650
Raging Bull,R,Drama,Martin Scorsese,"Paul Schrader, Mardik Martin, Martin Scorsese","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto, Theresa Saldana, Frank Adonis, Mario Gallo, Lori Anne Flax, Johnny Barnes, Frank Topham, Joseph Bono, James V. Christy, Bill Mazer, Bill Hanrahan, Rita Bennett, Mike Miles, Cis Corman, Kevin Mahon, Ed Gregory, Louis Raftis, Johnny Turner, Martin Scorsese, Don Dunphy, Charles Scorsese, Bernie Allen, Vic Magnotta, Kenny Davis, Jimmy Lennon Sr., Marty Denkin, Shay Duffin, Jack Lotz, Kevin Breslin, Coley Wallace, Peter Fain, Count Billy Varga, Harvey Parry, Ted Husing, Michael Badalucco, Paul Forrest, Peter Petrella, Geraldine Smith, Mardik Martin, Peter Savage, Daniel P. Conte, John Arceri, Robert Uricola, Allan Malamud, Richard McMurray, Mary Albee, Candy Moore, Noah Young, Lou Tiano, Bob Aaron, John Turturro, Wally K. Berns",1980-12-19,2000-08-01,128,United Artists,Certified Fresh,96,68,93,131125
Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese,NR,Documentary,Martin Scorsese,,"Bob Dylan, Allen Ginsberg, Joan Baez",,2019-06-12,,Netflix,Certified Fresh,92,73,,
Shine a Light,PG-13,"Documentary, Musical & Performing Arts",Martin Scorsese,,"Mick Jagger, The Rolling Stones, Keith Richards (II), Charlie Watts, Ronnie Wood, Buddy Guy, Christina Aguilera, Jack White, Darryl Jones, Bill Clinton, Chuck Leavell, Martin Scorsese, Bobby Keys, Bernard Fowler, Lisa Fischer, Blondie Chaplin, Tim Ries, Kent Smith, Michael Davis",2008-02-07,2008-07-29,121,Paramount,Certified Fresh,86,125,74,37309
Silence,R,Drama,Martin Scorsese,"Jay Cocks, Martin Scorsese","Liam Neeson, Adam Driver, Andrew Garfield, Issei Ogata, Tadanobu Asano, Ciarán Hinds, Yôsuke Kubozuka, Yoshi Oida, Shin'ya Tsukamoto",2017-01-13,2017-03-28,161,Paramount Pictures,Certified Fresh,83,270,69,25149
Taxi Driver,R,"Drama, Mystery & Suspense",Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd, Peter Boyle, Leonard Harris, Harvey Keitel, Steven Prince, Albert Brooks, Martin Scorsese, Frank Adu, Victor Argo, Diahnne Abbott, Gino Ardito, Garth Avery, Harry Cohn, Copper Cunningham, Brenda Dickson, Beau Kayser, Harry Fischler, Nat Grant, Richard Higgs, Vic Magnotta, Bob Maroff, Norman Matlock, Bill Minkin, Murray Moston, Harry Northrup, Gene Palma, Carey Poe, Robin Utt, Peter Savage, Jason Holt, Robert Shields, Ralph S. Singleton, Joe Spinell, Maria Turner, Debbie Morgan, Jack Hayes",1976-02-08,1999-06-15,112,Columbia Pictures,Certified Fresh,98,84,93,259981
