movie_title,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Welcome To New York,R,Drama,Abel Ferrara,"Christ Zois, Abel Ferrara","Gérard Depardieu, Jacqueline Bisset, Drena De Niro, Paul Calderon, Amy Ferguson, Paul Hipp, Ronald Guttman, Shanyn Leigh, Maria Conte Di Angelis, Natasha Romanova, Aurelie Claudel, Anh Duong, Pascal Yen-Pfister, Anna Lakomy, Jose Ramon Rosario, Brett Smith, Marie Moute, Joe Lawless, Nneoma Nkuku",2015-03-27,2015-08-25,125,IFC Films,Certified Fresh,76,54,41,772
Step Brothers,R,Comedy,Adam McKay,"Adam McKay, Will Ferrell","Will Ferrell, John C. Reilly, Mary Steenburgen, Richard Jenkins, Adam Scott, Kathryn Hahn, Elizabeth Yozamp, Andrea Savage, Lurie Poston, Logan Manus, Travis Flory, Lili McKay, Shira Piven, Seth Morris, Wayne Federman, Maria Quiban, Danielle Schneider, Gillian Vigman, Brian Huskey, Seth Rogen, Brian Henchy, Chris Henchy, Mary Catherine Hamelin, Ian Roberts, Erica Vittina Phillips, Phil LaMarr, Rob Riggle, Paula Killen, Ken Jeong, Horatio Sanz, Kyle Felts, Jake Szymanski, Matt Walsh, Dmitri Schuyler-Linch, Bryce Hurless, Brent White",2008-07-25,2008-12-02,98,Columbia Pictures,Rotten,55,204,69,365512
Anchorman - The Legend Of Ron Burgundy,PG-13,Comedy,Adam McKay,"Adam McKay, Will Ferrell","Will Ferrell, Christina Applegate, Paul Rudd, David Koechner, Fred Willard, Chris Parnell, Steve Carell, Stephen Root, Kathryn Hahn, Chris Williams (XII), Fred Armisen, Seth Rogen, Tara Subkoff, Paul F. Tompkins, Danny Trejo, Vince Vaughn, Scot Robinson, Maya Rudolph, Darcy Donovan, Renee Weldon, Jerry Minor, Chuck D., Kevin Corrigan, Holmes Osborne, Charles Walker, Shira Piven, Lili Rose McKay, Justin Long, Thomas E. Mastrolia, Jay Johnston, Peter Hulne, Chad Everett, Laura Kightlinger, Adam McKay, Joseph T. Mastrolia, Judd Apatow, Debra McGuire, Kent Shocknek, Monique McIntyre, Bob Rummler, Chuck Poynter, Esmeralda McQuillan, Angela M. Grillo, Lionel Allen, Trina Johnson, Mary Alice G. Goodin, Jasmine Nicole Jackson, Fred Dresch, Glen Hambly, Stuart Gold, Bill Kurtis, Luke Wilson",2004-07-09,2004-12-28,94,Dreamworks,Fresh,66,201,86,794409
Anchorman 2: The Legend Continues,PG-13,Comedy,Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell, Paul Rudd, Steve Carell, David Koechner, Christina Applegate, Kristen Wiig, Harrison Ford, Meagan Good, Dylan Baker",2013-12-18,2014-04-01,119,Paramount Pictures,Certified Fresh,75,200,52,164684
The Other Guys,PG-13,"Action & Adventure, Comedy",Adam McKay,"Adam McKay, Chris Henchy","Will Ferrell, Mark Wahlberg, Eva Mendes, Michael Keaton, Dwayne Johnson, Samuel L. Jackson, Steve Coogan, Ray Stevenson, Lindsay Sloane, Natalie Zea, Rob Riggle, Damon Wayans Jr., Bobby Cannavale, Zoe Lister-Jones, Adam McKay, Viola Harris, Brooke Shields, Anne Heche, Rosie Perez, Derek Jeter, David Gideon, Michael Delaney, Zach Woods, Michael G. Delaney, Andy Buckley (II), Rob Huebel, Brett Gelman, Danielle Cell, Brianne Moncrief, Joshua Church, Oliver Wood, Ben Schwartz, Jake Quinn, Patrick Ferrell, Will Lyman, Larnell Stovall, Jalil Jay Lynch, Roy T. Anderson, Andrew Secunda, Sara Chase, Josh Church, Ice-T, Alison Becker, Warren Kelley, Damon Wayans, Sean Heilig, Matthew J. McCarthy, Will Lyman, Adam Phillips, Tess Kartel, Rob Mars, C.C. Taylor, Elizabeth Kaledin, Peter R. Thewes, Robin Ng, Malachy McCourt, Barry Carl, Benjamin Magnuson, Thomas McDonnell III, Jimmy O'Donnell, Kevin Osborne, Pierce Turner, James Archie Worley, Shakiem Evans, James Mazzola, Patrick Crowley, Tara Copeland, Eamon Speer, Patrick Reale, Zak Orth, Pete Antico, Jamie Dugal, Chris Gethard, Michael Fawcett, Pilar Angelique, Leroy Wilson, Jr.",2010-08-06,2010-12-14,107,Columbia Pictures,Certified Fresh,78,203,60,160419
Talladega Nights: The Ballad of Ricky Bobby,PG-13,"Action & Adventure, Comedy, Sports & Fitness",Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole, Michael Clarke Duncan, Leslie Bibb, Amy Adams, Jane Lynch, Andy Richter, Molly Shannon, Jack McBrayer, Jake Johnson (IV), Luke Bigham, Austin Crimm, David Koechner, Greg Germann, Pat Hingle, Elvis Costello, Yasiin Bey, Darell Waltrip, Benny Parsons, Wally Dallenbach, Jason A. Davis, Lorrie Bess Crumley, Adam McKay, John D. King, Dale Earnhardt Jr., Dick Berggren, Houston Tumlin, Grayson Russell, Ted Manson, Danny Vinson, Sylvia G. Lyerly, Mike Joy, Larry McReynolds, Jamie McMurray, Dan Cox, Richard Benjamin, Bob Jenkins, Rob Riggle, William Boyer, Ruffin Copeland, Rick Benjamin, Matt Day, Christoph Sanders, Pete Burris, Frank Hoyt Taylor, Conrad Ricamora, Angie Fox, Jim Wise, Rebecca Koon, Bill Weber, Wally Dellenbach, Jack Blessing, Robert R. Lee, Matt Coulter",2006-08-04,2006-12-12,110,Sony Pictures Releasing,Certified Fresh,71,186,73,554366
The Big Short,R,Drama,Adam McKay,"Adam McKay, Charles Randolph","Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt, Karen Gillan, Marisa Tomei, Melissa Leo, Finn Wittrock, Max Greenfield, Billy Magnussen, Rafe Spall, Hamish Linklater, John Magaro, Byron Mann, Al Sapienza, Heighlen Boyd, Sue-Lynn Ansari, Brandon Stacy, Jeremy Strong, Sara Finley, Tracy Letts, Lindsay Musil, Shona Gastian, Ruby Lou Smith, Garrett Hines, Aaron V. Williamson, Adepero Oduye, Wayne Pére, Judd Lormand, Shauna Rappold, Dave Davis, Lara Grice, Vanessa Cloke, Candice Harrison, Aiden Flowers, Michael K. Douglas, Charlie Talbert, Carrie Lazar, Nicole Barré, Billy Slaughter, Emily Bossak, Mark Falvo, Jae Suh Park, Juliet Reeves, Jeff Caperton, Tony Bentley, Hunter Burke, Jay Jablonski, Jaclyn Bethany, Elton LeBlanc, Jeffry Griffin, Nazeema Bartek, Tracy Mann, Paula Shreve, David Kallaway, Erika Vaughn, Tom Buis, Sidney Beitz, Mike R. Moreau, Colin Lawless, Stanley Wong, Holly Ann Perry, Jason Bayle, Andrea Vittoria Alvarado, Kristen Scott, Tom Bui, Rajeev Jacob, Leslie Castay, Marcus Lyle Brown, Lyle Brocato, Anthony Marble, Jack Millard, Tyler Kunkle, Patrick Kearns, Darly Wayne, Jesse Yarborough, Kelly Lind, Ryan Broussard, John Neisler, Daryl Thibodaux, Cynthia LeBlanc, Oscar Gale, David Michael Cefalu, Blaine Kern III, Michelle Torres, Elliott Grey, Peter Epstein, Mark Roman, Christopher Gulas, Michael Rollins, Blaine Kern III, Ronald Joe Vasquez, Jay Potter, Christina Michelle Williams, Paul Campanella, Alicia Davis Johnson, Staci Roberts Steele, Richard R. Corapi, Colette Divine, Candace McAdams, Jamie Gliddon",2015-12-23,2016-03-15,130,Paramount Pictures,Certified Fresh,88,318,87,68695
Vice,R,Drama,Adam McKay,Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Alison Pill, Lily Rabe, Tyler Perry, Justin Kirk, LisaGay Hamilton, Shea Whigham, Eddie Marsan, Jesse Plemons, Adam McKay, Vanessa Cloke, Tiffany Smith, Ronald Reagan, Abigail Marlowe, Bill Camp, Jimmy Carter, Fay Masterson, Bob Stephenson, Casey Sander, Don R. McManus, Jamie Bernadette, Barack Obama, Adam Bartley, Osama Bin Laden, John Hillner, Jillian Armenante, Osama Bin Laden, Scott Christopher, Tara Nicole Hughes, Richard Nixon, Jeff Bosley, Melody Hollis, Harvey B. Jackson, Tim Winters, Pilar Holland, Alex Knight, Brandon Sklenar, Roman Mitichyan, Violet Hicks, Matt Nolan, Brandon Firla, Mark Bramhall, Kevin Symons, Robert L. Hughes, Daniel Bruington, John Burke, Rocky Bonifield, Alina Zilbershmidt, Matt Champagne, Delpaneaux Wills, Nick Drago, Sabina Nogic, Kirk Bovill, Fabiana Rares, Christopher M. Campos, Treisa Gary, Damon O'Daniel, Joe Sabatino, David Fabrizio, William Goldman, Abraham Justice, Amir Malaklou, Edward Fletcher, Paul Perri, Rome Stephens, Stephen Adly Guirgis, Kyle S. More, Dustin Green, Andrea Wright, Vishesh Chachra, Al Wexo, Dayna Brand, Jeff Witzke, Shannon Mosley, Aidan Gail, Trent Walker, Chris Dougherty, Chet Grissom, Scott Subiono, Joey Brooks, Angela Leib, Holly Hawkins, Lucky Harmon, Melissa Schumacher, Omid Zader, Liz Burnette, Joseph Beck, Stewart J. Zully, Matthew Jacobs, Michael DiBacco, Stephen Friedrich, Allie Pratt, Grace Rowe, Todd Brotze, Scott Alan Smith, Calissa Hatfield",2018-12-25,2019-04-02,132,Annapurna Pictures,Fresh,66,341,59,4629
Bedtime Stories,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",Adam Shankman,"Matt Lopez, Tim Herlihy","Adam Sandler, Richard Griffiths, Courteney Cox, Guy Pearce, Keri Russell, Russell Brand, Jonathan Pryce, Teresa Palmer, Laura Ann Kesling, Lucy Lawless, Aisha Tyler, Jonathan Morgan Heit, Nick Swardson, Kathryn Joosten, Allen Covert, Carmen Electra, Tim Herlihy, Thomas Hoffman, Abigail Leone Droeger, Melany Mitchell, Andrew Collins, Blake Clark, Bill Romanowski, Paul Dooley, Mikey Post, Adam Shankman",2008-12-25,2009-04-05,95,Walt Disney Pictures,Rotten,26,110,55,216448
Bringing Down the House,PG-13,Comedy,Adam Shankman,Jason Filardi,"Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright, Jean Smart, Kimberly J. Brown, Angus T. Jones, Missi Pyle, Michael Rosenbaum, Betty White, Steve Harris, Jim Haynie, Aengus James, Jernard Burks, Matt Lutz, Bronzell Miller, Randy Oglesby, Jesse Corti, Bernard Smalls, Victor Webster, Teddy Lane Jr., Vincent Ward, Michael Ensign, Tracey Cherelle Jones, Josh Waters, Anne Fletcher, John Prosky, Alonzo Bodden, Seth Howard, Diana Carreno, Tim Stevenson, Eddie Garcia, Sundy Carter, Anne Bellamy, Robin Michelle McClamb, Walter Addison, Gina Morelli, Seth Altschull, Deezer D, Kelly Price, Candace Jackson, Erika Nuri, Faida Amana Brigham, Aminah Abdul-Jillil, Barry Lee Youngblood, Cristian L. Judd, Oscar L. Orosoco, Garland R. Spencer, Montrose Hagins, Laura Grady Peterson",2003-03-07,2003-08-05,105,Touchstone Pictures,Rotten,34,149,49,379148
